iris_code,iris_name,zone,observed_prix_m2,value_trap_score,alpha_score
951770000,Cormeilles-en-Vexin (commune non irisée),GrandeCouronne,3331.0,65.4,58.1
786400106,Le Mail,GrandeCouronne,3958.0,63.4,58.0
774660000,Tigeaux (commune non irisée),GrandeCouronne,2889.0,75.6,58.0
770820000,Champeaux (commune non irisée),GrandeCouronne,2748.5,67.1,57.9
940810207,Le Moulin Neuf,PetiteCouronne,3298.0,60.6,57.9
954220000,Montgeroult (commune non irisée),GrandeCouronne,3358.0,61.4,57.9
930270114,Verlaine,PetiteCouronne,2345.0,65.2,57.8
954760105,La Ravinière,GrandeCouronne,2868.0,61.8,57.7
912040000,Écharcon (commune non irisée),GrandeCouronne,2935.5,64.6,57.7
770980000,Châteaubleau (commune non irisée),GrandeCouronne,1692.5,65.4,57.6
953160000,Jagny-sous-Bois (commune non irisée),GrandeCouronne,2926.0,67.0,57.6
954560000,Noisy-sur-Oise (commune non irisée),GrandeCouronne,3138.5,75.9,57.5
774560000,Soisy-Bouy (commune non irisée),GrandeCouronne,1923.0,65.3,57.5
772790000,Marolles-sur-Seine (commune non irisée),GrandeCouronne,2105.5,63.5,57.4
920040705,Freycinet I,PetiteCouronne,5274.0,63.1,57.4
770830303,Descartes,GrandeCouronne,4325.0,67.7,57.3
911030101,La Fontaine Daumones,GrandeCouronne,2978.0,67.0,57.3
770670102,Nord-Est,GrandeCouronne,2842.5,63.7,57.2
784010102,Annonciades,GrandeCouronne,2582.5,71.0,57.1
911350000,Champcueil (commune non irisée),GrandeCouronne,3082.0,70.5,57.1
773800000,Puisieux (commune non irisée),GrandeCouronne,2296.0,72.4,57.1
770030000,Amponville (commune non irisée),GrandeCouronne,2632.0,84.3,57.1
950180302,Le Marais,GrandeCouronne,3906.5,60.4,57.0
940810205,Paul Eluard,PetiteCouronne,3642.0,68.5,57.0
930320107,Iris 0107,PetiteCouronne,2254.0,62.7,56.9
951570000,Chérence (commune non irisée),GrandeCouronne,2773.0,71.8,56.9
930290802,L'Avenir Parisien 2,PetiteCouronne,3404.0,65.1,56.9
771160000,Choisy-en-Brie (commune non irisée),GrandeCouronne,1967.0,70.8,56.9
940760114,Hautes Bruyères,PetiteCouronne,4321.0,66.1,56.8
952800105,Grandes Bornes Sud,GrandeCouronne,3132.5,71.1,56.8
783290000,Lainville-en-Vexin (commune non irisée),GrandeCouronne,2713.0,72.8,56.7
920630602,Fouilleuse 2,PetiteCouronne,3621.5,73.3,56.7
915990000,Soisy-sur-École (commune non irisée),GrandeCouronne,3444.0,66.3,56.7
950550000,Bellefontaine (commune non irisée),GrandeCouronne,3382.5,63.5,56.6
930481102,Montreau Ruffins Clos Arachis 2,PetiteCouronne,3787.0,75.7,56.6
930080118,Préfecture 5,PetiteCouronne,3896.0,64.6,56.6
783540103,Nord-Est,GrandeCouronne,2579.0,64.1,56.6
772060000,Giremoutiers (commune non irisée),GrandeCouronne,2754.5,86.6,56.6
953650000,Mareil-en-France (commune non irisée),GrandeCouronne,3314.0,61.9,56.6
773330102,Mairie Centre-Nord,GrandeCouronne,1978.5,69.3,56.6
785860901,Les Champs Thibaux,GrandeCouronne,3297.0,63.2,56.5
773600000,Pézarches (commune non irisée),GrandeCouronne,2573.5,74.5,56.4
955350000,Sagy (commune non irisée),GrandeCouronne,3119.5,64.1,56.4
912280114,Mousseau-Bonhomme en Pierre,GrandeCouronne,2097.0,60.1,56.4
912010107,S8,GrandeCouronne,3333.0,60.5,56.3
770540000,La Brosse-Montceaux (commune non irisée),GrandeCouronne,2124.0,67.8,56.2
771520202,L'Abbaye du Lys,GrandeCouronne,2619.0,70.5,56.2
952980000,Haravilliers (commune non irisée),GrandeCouronne,2871.0,72.2,56.2
911740203,Coquibus Art de Vivre,GrandeCouronne,3133.5,68.3,56.2
